Date,Open,High,Low,Close,Adj Close,Volume,Day
2017-06-16,242.770004,242.830002,241.630005,242.639999,218.127335,84553100,937
2017-06-19,243.589996,244.729996,243.479996,244.660004,219.943268,65123800,938
2017-06-20,244.25,244.259995,242.990005,243.009995,218.459915,56906400,939
2017-06-21,243.460007,243.589996,242.410004,242.949997,218.406006,55977600,940
2017-06-22,242.960007,243.529999,242.639999,242.839996,218.307129,44148100,941
2017-06-23,242.910004,243.509995,242.470001,243.130005,218.567825,66986800,942
2017-06-26,243.899994,244.380005,243.050003,243.289993,218.711655,56700500,943
2017-06-27,243.039993,243.380005,241.309998,241.330002,216.949661,82247700,944
2017-06-28,242.5,243.720001,242.229996,243.490005,218.891464,70042600,945
2017-06-29,243.660004,243.720001,239.960007,241.350006,216.967651,106949700,946
2017-06-30,242.279999,242.710007,241.580002,241.800003,217.372208,86820700,947
2017-07-03,242.880005,243.380005,242.210007,242.210007,217.740799,39153800,948
2017-07-05,242.630005,243.009995,241.699997,242.770004,218.244156,54427600,949
2017-07-06,241.889999,242.029999,240.339996,240.550003,216.248489,65400800,950
2017-07-07,241.210007,242.279999,240.559998,242.110001,217.650894,57972300,951
2017-07-10,242.110001,242.800003,241.759995,242.369995,217.884628,36663300,952
2017-07-11,242.369995,242.550003,240.850006,242.190002,217.722824,50354600,953
2017-07-12,243.300003,244.199997,243.300003,244.009995,219.358932,59610400,954
2017-07-13,244.020004,244.550003,243.759995,244.419998,219.727478,39471600,955
2017-07-14,244.419998,245.970001,244.309998,245.559998,220.752319,60262700,956
2017-07-17,245.470001,245.910004,245.330002,245.529999,220.725357,33531900,957
2017-07-18,245.059998,245.720001,244.669998,245.660004,220.842209,42742500,958
2017-07-19,246.020004,247,246.009995,246.990005,222.037857,51034300,959
2017-07-20,247.279999,247.419998,246.470001,247.100006,222.136765,47135200,960
2017-07-21,246.440002,246.910004,246.179993,246.880005,221.93898,82340800,961
2017-07-24,246.789993,246.979996,246.279999,246.820007,221.885086,46622300,962
2017-07-25,247.679993,247.800003,247.160004,247.419998,222.424423,54915600,963
2017-07-26,247.75,247.789993,247.130005,247.429993,222.433411,47575400,964
2017-07-27,247.960007,248,245.679993,247.199997,222.226624,70766600,965
2017-07-28,246.649994,247.059998,246.130005,246.910004,221.965942,50088400,966
2017-07-31,247.369995,247.479996,246.529999,246.770004,221.840118,65838700,967
2017-08-01,247.460007,247.5,246.720001,247.320007,222.334534,55050400,968
2017-08-02,247.470001,247.600006,246.369995,247.440002,222.442429,47211200,969
2017-08-03,247.309998,247.339996,246.639999,246.960007,222.010895,40856000,970
2017-08-04,247.520004,247.789993,246.970001,247.410004,222.415451,60191800,971
2017-08-07,247.490005,247.869995,247.369995,247.869995,222.828934,31995000,972
2017-08-08,247.509995,248.910004,246.830002,247.259995,222.280594,61719400,973
2017-08-09,246.470001,247.309998,246.059998,247.25,222.271561,62632600,974
2017-08-10,246.289993,246.440002,243.699997,243.759995,219.134186,120479500,975
2017-08-11,244.020004,244.800003,243.75,244.119995,219.457794,74869900,976
2017-08-14,245.589996,246.789993,245.550003,246.539993,221.633316,73291900,977
2017-08-15,246.979996,247,246.160004,246.509995,221.606354,55242700,978
2017-08-16,247.110001,247.570007,246.449997,246.940002,221.99292,56715500,979
2017-08-17,246.240005,246.600006,243.089996,243.089996,218.531876,128490400,980
2017-08-18,242.899994,244.190002,242.199997,242.710007,218.190292,136748000,981
2017-08-21,242.639999,243.199997,241.830002,242.899994,218.361084,65469700,982
2017-08-22,243.570007,245.619995,243.550003,245.440002,220.644455,63140100,983
2017-08-23,244.330002,245.050003,244.160004,244.559998,219.853409,50203800,984
2017-08-24,245,245.179993,243.75,243.990005,219.340973,50741700,985
